id,Moeda,Preço,1h,24h,7d,30d,Volume 24h,Capitalização de Mercado,FDV,Cap/FDV
96.0,The Graph  GRT,"R$ 0,6211",0.5%,4.4%,1.0%,7.0%,R$ 279.681.156,R$ 5.930.595.531,R$ 6.700.432.432,89.0
97.0,Solv Protocol BTC  SOLVBTC,R$ 619.367,0.0%,1.6%,3.5%,15.9%,R$ 5.161.269,R$ 5.858.781.567,R$ 5.858.782.135,10.0
98.0,Curve DAO  CRV,"R$ 4,27",0.1%,1.9%,11.5%,13.2%,R$ 751.095.002,R$ 5.735.579.570,R$ 9.669.133.446,59.0
99.0,Marinade Staked SOL  MSOL,"R$ 1.283,98",0.2%,1.9%,5.6%,18.0%,R$ 41.819.801,R$ 5.416.644.201,R$ 5.417.350.937,10.0
100.0,FLOKI  FLOKI,"R$ 0,0005574",0.1%,5.2%,0.1%,21.0%,R$ 742.957.856,R$ 5.386.465.597,R$ 5.574.121.089,97.0
101.0,Raydium  RAY,"R$ 18,35",0.4%,9.3%,1.9%,14.2%,R$ 410.239.819,R$ 5.318.729.772,R$ 10.186.530.575,52.0
102.0,Maker  MKR,"R$ 9.274,93",0.1%,0.8%,5.2%,8.3%,R$ 164.725.311,R$ 5.311.255.423,R$ 5.542.545.375,96.0
103.0,Mantle Staked Ether  METH,"R$ 15.370,62",0.1%,0.9%,1.2%,41.1%,R$ 4.778.219,R$ 5.279.473.748,R$ 5.279.473.748,10.0
104.0,PayPal USD  PYUSD,"R$ 5,67",0.0%,0.0%,0.0%,0.0%,R$ 101.876.953,R$ 5.144.483.450,R$ 5.144.483.450,10.0
105.0,Binance Bridged USDC (BNB Smart Chain)  USDC,"R$ 5,67",0.1%,0.0%,0.0%,0.0%,R$ 14.711.669.842,R$ 5.096.926.580,R$ 5.096.926.580,10.0
106.0,Arbitrum Bridged WBTC (Arbitrum One)  WBTC,R$ 618.785,0.2%,1.7%,3.7%,15.7%,R$ 453.222.247,R$ 5.084.843.218,R$ 5.084.843.218,10.0
107.0,Wrapped BNB  WBNB,"R$ 3.820,14",0.2%,1.2%,3.9%,10.8%,R$ 11.098.153.557,R$ 5.006.077.195,R$ 5.006.077.195,10.0
108.0,Jupiter Staked SOL  JUPSOL,"R$ 1.101,64",0.2%,1.9%,5.4%,18.3%,R$ 25.020.164,R$ 5.001.541.922,R$ 5.001.541.922,10.0
109.0,Zcash  ZEC,"R$ 304,78",0.2%,4.0%,30.6%,58.7%,R$ 587.801.576,R$ 4.898.386.374,R$ 4.900.387.811,10.0
110.0,Renzo Restaked ETH  EZETH,"R$ 15.120,16",0.2%,1.0%,1.3%,41.2%,R$ 5.034.389,R$ 4.821.190.296,R$ 4.821.190.296,10.0
111.0,GALA  GALA,"R$ 0,108",0.3%,4.6%,1.4%,7.8%,R$ 589.127.857,R$ 4.818.596.518,R$ 4.818.600.162,10.0
112.0,clBTC  CLBTC,R$ 623.147,0.1%,1.7%,4.4%,15.8%,"R$ 358,93",R$ 4.812.712.389,R$ 4.812.712.389,10.0
113.0,Theta Network  THETA,"R$ 4,81",0.1%,2.4%,6.3%,14.1%,R$ 113.231.478,R$ 4.808.305.414,R$ 4.808.305.414,10.0
114.0,Polygon Bridged USDT (Polygon)  USDT,"R$ 5,67",0.0%,0.0%,0.0%,0.0%,R$ 90.807.522,R$ 4.783.670.297,R$ 4.783.670.297,10.0
115.0,JasmyCoin  JASMY,"R$ 0,09795",0.2%,1.0%,3.2%,3.9%,R$ 181.691.448,R$ 4.741.929.984,R$ 4.896.664.585,97.0
